City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Shelburne,CA,2022-02-04 01:59:38,44.0787,-80.2041,11.19,88,100,12.82,overcast clouds
60,Egvekinot,RU,2022-02-04 01:59:38,66.3167,-179.1667,-6.97,75,1,18.88,clear sky
61,Jinchang,CN,2022-02-04 01:59:39,38.4953,102.1739,18.93,32,55,2.51,broken clouds
62,Tubuala,PA,2022-02-04 01:59:39,9.5167,-79.0333,78.57,84,11,11.65,few clouds
63,Dingle,PH,2022-02-04 01:55:42,10.9995,122.6711,81.09,77,75,16.82,broken clouds
64,Tongliao,CN,2022-02-04 01:59:40,43.6125,122.2653,3.88,75,8,9.51,clear sky
65,Caravelas,BR,2022-02-04 01:56:32,-17.7125,-39.2481,76.71,90,95,4.45,overcast clouds
66,Porbandar,IN,2022-02-04 01:59:40,21.6422,69.6093,62.98,51,5,4.07,clear sky
67,Henties Bay,NA,2022-02-04 01:59:41,-22.116,14.2845,66.85,88,5,7.18,clear sky
68,Pestretsy,RU,2022-02-04 01:59:41,55.7531,49.6545,24.94,96,100,11.83,snow
69,Chizhou,CN,2022-02-04 01:59:42,30.6578,117.4831,39.45,84,100,2.91,overcast clouds
70,Lebu,CL,2022-02-04 01:53:11,-37.6167,-73.65,59.76,92,17,12.68,few clouds
71,Onega,RU,2022-02-04 01:52:36,63.9061,38.1404,-2.69,100,98,2.04,overcast clouds
72,Stornoway,GB,2022-02-04 01:59:42,58.2093,-6.3865,36.03,79,75,11.01,broken clouds
73,Mataura,NZ,2022-02-04 01:57:16,-46.1927,168.8643,49.3,99,100,3.11,light rain
74,Rettikhovka,RU,2022-02-04 01:59:43,44.1683,132.7669,7.23,73,92,5.53,overcast clouds
75,Sangar,RU,2022-02-04 01:53:25,63.9242,127.4739,-23.12,98,98,2.8,overcast clouds
76,Pombas,CV,2022-02-04 01:59:44,17.1503,-25.0201,67.78,83,13,9.89,few clouds
77,Saskylakh,RU,2022-02-04 01:48:03,71.9167,114.0833,-16.13,97,100,1.7,overcast clouds
78,Marsh Harbour,BS,2022-02-04 01:59:44,26.5412,-77.0636,73.2,66,7,19.01,clear sky
79,Kununurra,AU,2022-02-04 01:53:47,-15.7667,128.7333,85.98,74,75,4.61,broken clouds
80,Meulaboh,ID,2022-02-04 01:59:45,4.1363,96.1285,78.48,80,82,3.4,broken clouds
81,Esfahan,IR,2022-02-04 01:59:45,32.6572,51.6776,22.64,37,0,3.27,clear sky
82,Port Elizabeth,ZA,2022-02-04 01:49:25,-33.918,25.5701,67.1,73,98,13.82,overcast clouds
83,Jamestown,US,2022-02-04 01:53:38,42.097,-79.2353,23.09,69,100,5.99,snow
84,Mount Isa,AU,2022-02-04 01:59:46,-20.7333,139.5,83.97,32,100,11.5,overcast clouds
85,Witu,KE,2022-02-04 01:59:46,-2.3889,40.4382,74.62,96,98,3.42,overcast clouds
86,Waingapu,ID,2022-02-04 01:59:47,-9.6567,120.2641,85.26,68,43,12.24,scattered clouds
87,Bredasdorp,ZA,2022-02-04 01:47:46,-34.5322,20.0403,61.92,67,100,4.61,overcast clouds
